Symbol,Date,Pattern,Confidence,RSI,Volume Ratio,EMA50,EMA200,Trend Strength %,Entry,Stop,Target,Risk %,Reward %,Risk:Reward,Exit,Return %,Holding Days,Outcome
ITC,2023-05-24,DOUBLE_BOTTOM,75.0,,,,,,363.92218017578125,271.82390533497494,455.97845194374645,25.307134287973632,25.295592514723968,0.9995439320344086,379.0920104980468,4.168426973848725,60.0,TIME_EXIT
ETERNAL,2023-05-25,ROUNDING_BOTTOM_V2,80.0,,,,,,67.30000305175781,44.349998474121094,89.80000305175781,34.101045374376525,33.43239075739139,0.9803919613124951,89.80000305175781,33.43239075739139,50.0,WIN
BHARTIARTL,2023-05-25,DOUBLE_BOTTOM,75.0,,,,,,807.6478881835938,722.3377669567135,879.4596671360707,10.562786391820248,8.891471147653492,0.8417732611291835,879.4596671360707,8.891471147653492,36.0,WIN
INDHOTEL,2023-05-25,DOUBLE_BOTTOM,75.0,,,,,,377.3524169921875,277.66038390223986,474.41705322483267,26.41881397887313,25.72254260522061,0.9736448663361906,377.153076171875,-0.05282616761843267,60.0,TIME_EXIT
GODREJCP,2023-05-26,DOUBLE_BOTTOM,75.0,,,,,,1002.8723754882812,851.7658208050199,1139.6993356486414,15.06737630595221,13.643506741696964,0.905499833856757,990.932861328125,-1.1905317617651106,60.0,TIME_EXIT
BAJFINANCE,2023-05-26,ROUNDING_BOTTOM,70.0,,,,,,679.8989868164062,540.1871884103278,816.6025177745989,20.548905221975996,20.106447223623658,0.9784680500701735,699.1494140625,2.831365779236256,60.0,TIME_EXIT
HCLTECH,2023-05-26,DOUBLE_BOTTOM,75.0,,,,,,1013.6229858398438,889.0327940410664,1136.4471557424017,12.291571278402627,12.117342603551084,0.9858253537399504,1058.5355224609375,4.430891687394124,60.0,TIME_EXIT
DIVISLAB,2023-05-26,DOUBLE_BOTTOM,75.0,,,,,,3448.885986328125,2679.4133443585724,4158.292546261615,22.310759039871183,20.569150814079634,0.921938638542994,3614.506103515625,4.802133727935389,60.0,TIME_EXIT
TATACONSUM,2023-05-26,ROUNDING_BOTTOM_V2,80.0,,,,,,771.990478515625,663.9862454814421,877.0619932129296,13.990358176677553,13.610467696354874,0.9728462648686171,829.7650756835938,7.483848412101808,60.0,TIME_EXIT
MARUTI,2023-05-26,ROUNDING_BOTTOM_V2,80.0,,,,,,9126.4033203125,7893.409192490795,10291.287994435095,13.510186702766555,12.76389650159257,0.9447609261372262,9302.401367187502,1.9284491458237856,60.0,TIME_EXIT
TITAN,2023-05-29,ROUNDING_BOTTOM,70.0,,,,,,2785.642333984375,2248.12671153931,3313.104025996207,19.29593099183853,18.935011346463497,0.9812955567923781,3050.8059082031245,9.518938270854026,60.0,TIME_EXIT
TATAPOWER,2023-05-29,ROUNDING_BOTTOM_V2,80.0,,,,,,212.75442504882812,178.7823564299242,245.15779859912612,15.96773773852515,15.230411091501987,0.9538239756252869,245.15779859912612,15.230411091501987,60.0,WIN
