Symbol,Date,Pattern,Confidence,RSI,Volume Ratio,EMA50,EMA200,Trend Strength %,Entry,Stop,Target,Risk %,Reward %,Risk:Reward,Exit,Return %,Holding Days,Outcome
LODHA,2023-06-13,ROUNDING_BOTTOM_V5,95.0,88.90258967572773,1.745588464545379,511.1258024849812,498.70211388726403,2.4912043185214254,675.270263671875,353.23509799807056,941.0660163969778,47.689818876770005,39.361388620876305,0.8253625102369485,738.266357421875,9.329019377730344,60,TIME_EXIT
BAJFINANCE,2023-06-19,ROUNDING_BOTTOM_V5,95.0,73.98481630828225,1.5848094610418344,660.507895560134,640.8945316859333,3.060310691465236,727.3329467773438,540.1871884103278,897.9747033545402,25.73041125061344,23.4612988911438,0.9118120446125578,739.2939453125,1.644501130899249,60,TIME_EXIT
M&M,2023-06-30,ROUNDING_BOTTOM_V5,95.0,72.49806024847842,1.8964453410851565,1296.717682403233,1220.816508573049,6.217246678528379,1416.6868896484375,1094.8721131534885,1708.4838814206664,22.71601289222137,20.597140688203922,0.9067234107468299,1570.9833984375,10.891362792758846,60,TIME_EXIT
HCLTECH,2023-06-30,ROUNDING_BOTTOM_V5,95.0,80.00788631077539,1.6613462228331979,999.2551816639879,950.9807104748694,5.076282900103489,1056.999267578125,888.8631924783275,1214.458156132378,15.906924465997344,14.896783127866728,0.9364967539583221,1132.0810546875,7.103296039306437,60,TIME_EXIT
CANBK,2023-07-07,ROUNDING_BOTTOM_V5,95.0,76.86096681951236,1.8089104609577331,54.767378180664245,50.961257894598816,7.468654509936703,60.72653579711914,47.05200743971275,73.60035999817464,22.518209178095592,21.199668369138607,0.9414455741782706,67.91472625732422,11.836984220901474,60,TIME_EXIT
PNB,2023-07-07,ROUNDING_BOTTOM_V5,95.0,82.650892411227,1.8952457372151243,48.17385134789335,44.62132337332945,7.961502945220291,56.37455749511719,40.912733709619225,71.2296986001942,27.426953704846674,26.35078972702122,0.9607625407689632,71.2296986001942,26.35078972702122,50,WIN
JINDALSTEL,2023-08-11,ROUNDING_BOTTOM_V5,95.0,74.04818345787169,1.758063045525428,617.434758481449,557.8212499344695,10.68684790225948,693.2068481445312,499.4027710032328,871.6217630251087,27.95761144888329,25.737615743140868,0.9205942285233706,622.1610717773438,-10.248856680708194,60,TIME_EXIT
APOLLOHOSP,2023-11-17,ROUNDING_BOTTOM_V5,95.0,82.40343452988768,1.5284140331133067,5027.463660243559,4812.908455377149,4.457911611152749,5443.6875,4487.606829841553,6289.53206473817,17.56310717980132,15.538080845716628,0.884699995658308,6289.5320647381695,15.538080845716628,44,WIN
BPCL,2023-11-28,ROUNDING_BOTTOM_V5,95.0,83.96497181279854,1.805659367358661,157.86352750105883,151.4798099308892,4.214236585774784,180.7562255859375,141.13465128961894,215.69388942085448,21.919894691251532,19.32860886072577,0.8817838376039291,215.69388942085445,19.32860886072577,37,WIN
BOSCHLTD,2023-11-29,ROUNDING_BOTTOM_V5,95.0,81.44301479701613,1.9945387887425072,19413.558256416818,18290.656579726925,6.139209228467498,21117.130859375,17478.591284743092,24450.228279507908,17.230274315492863,15.783855497837063,0.9160536395897522,24450.22827950791,15.783855497837063,47,WIN
